,Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
1029,2024,Mo,ma,,,,,,DNF,,2.0,23.813,No rain,11.92,73,3.6,0.0,2
1030,2019,Ru,ma,,,,,,DNF,,28.0,29.978,No rain,-0.89,51,7.0,0.0,1
1031,2021,Ab,mi,,,,,,DNF,,52.0,22.070,No rain,21.1,68,2.06,0.0,2
1032,2021,Ab,ri,Mc,10.0,12.0,88.723,0.0,+1 Lap,57.0,52.0,22.056,No rain,21.1,68,2.06,0.0,2
1033,2020,Ru,ri,Re,5.0,5.0,97.886,10.0,Finished,53.0,15.0,30.112,No rain,-0.89,51,7.0,0.0,1
1034,2023,It,al,As,10.0,9.0,86.105,2.0,Finished,51.0,21.0,24.798,Rain,5.0,87,0.45,1.0,1
1035,2021,Az,ma,Ha,18.0,14.0,107.747,0.0,Finished,51.0,44.0,24.780,Rain,4.97,75,12.35,0.0,3
1036,2024,Si,ke,,,,,,DNF,,28.0,29.707,No rain,26.92,87,1.03,0.0,2
1037,2023,Ba,bo,Al,12.0,8.0,97.37899999999999,4.0,Finished,57.0,29.0,25.643,No rain,21.05,72,5.45,0.0,2
1038,2019,Ca,kv,To,10.0,10.0,76.19800000000001,1.0,+1 Lap,69.0,12.0,23.825,No rain,-4.97,57,6.69,0.0,1
1039,2019,Ab,ke,,,,,,DNF,,20.0,21.531,No rain,21.1,68,2.06,0.0,1
1040,2023,Au,sa,Fe,5.0,12.0,80.467,0.0,Finished,58.0,7.0,18.319,No rain,17.76,67,0.89,0.0,2
1041,2024,Sa,sa,Wi,19.0,14.0,93.523,0.0,+1 Lap,49.0,7.0,23.645,No rain,26.03,53,2.06,0.0,1
1042,2021,Ab,no,Mc,3.0,7.0,86.762,6.0,Finished,58.0,17.0,21.380,No rain,21.1,68,2.06,0.0,2
1043,2024,Az,al,As,7.0,6.0,107.057,8.0,Finished,51.0,11.0,20.073,Rain,4.97,75,12.35,0.0,1
1044,2020,Tu,bo,Me,2.0,2.0,79.432,18.0,Finished,59.0,8.0,23:56.402,No rain,5.13,81,2.59,0.0,2
1045,2024,Ja,oc,Al,15.0,15.0,96.232,0.0,+1 Lap,52.0,1.0,26:26.095,No rain,7.84,72,6.85,0.0,1
1046,2020,Sa,la,Wi,16.0,18.0,,0.0,DNF,52.0,27.0,24.297,No rain,21.05,72,5.45,0.0,1
1047,2023,Be,ha,Me,3.0,4.0,107.305,13.0,Finished,44.0,27.0,23.023,Rain,-1.91,100,2.57,0.0,2
1048,2024,Au,no,Mc,3.0,3.0,79.91499999999999,15.0,Finished,58.0,14.0,17.776,No rain,17.76,67,0.89,0.0,1
1049,2024,La,pe,,,,,,DNF,,17.0,21.294,No rain,14.64,31,1.54,0.0,1
1050,2022,Fr,no,Mc,5.0,7.0,99.037,6.0,Finished,53.0,18.0,37.539,No rain,8.64,77,3.73,0.1,1
1051,2019,Me,al,Re,5.0,5.0,79.325,10.0,Finished,71.0,14.0,22.192,No rain,23.88,23,4.12,0.0,2
1052,2021,Az,ha,Me,2.0,15.0,104.769,0.0,Finished,51.0,47.0,15.432,Rain,4.97,75,12.35,0.0,2
1053,2023,Hu,ma,,,,,,DNF,,23.0,21.407,No rain,1.26,70,3.09,0.0,1
1054,2022,Be,la,Wi,11.0,18.0,112.256,0.0,+1 Lap,43.0,15.0,24.168,Rain,-1.91,100,2.57,0.0,2
1055,2021,Hu,gi,Al,0.0,13.0,82.736,0.0,+1 Lap,69.0,1.0,26.573,No rain,1.26,70,3.09,0.0,2
1056,2022,Ba,pe,,,,,,DNF,,33.0,24.173,No rain,21.05,72,5.45,0.0,2
1057,2020,St,ha,Me,1.0,1.0,66.719,25.0,Finished,71.0,27.0,21.729,No rain,-2.06,86,1.54,0.0,1
1058,2020,Tu,ra,,,,,,DNF,,1.0,30.623,No rain,5.13,81,2.59,0.0,3
1059,2023,Du,no,Mc,2.0,7.0,74.39,6.0,Finished,72.0,3.0,20.170,No rain,1.59,88,3.6,0.0,2
1060,2021,Sã,ts,Al,15.0,15.0,74.20400000000001,0.0,+1 Lap,70.0,7.0,17.711,No rain,21.25,86,4.63,0.0,3
1061,2019,Ch,pe,,,,,,DNF,,20.0,23.733,No rain,2.99,75,4.0,0.0,1
1062,2022,Ba,ke,,,,,,DNF,,14.0,25.478,No rain,21.05,72,5.45,0.0,1
1063,2020,Sp,ma,,,,,,DNF,,21.0,21.532,No rain,9.61,85,3.09,0.0,2
1064,2022,Em,ri,Mc,6.0,18.0,81.577,0.0,+1 Lap,62.0,2.0,32.362,Rain,4.34,96,2.91,1.33,3
1065,2023,Br,hu,,,,,,DNF,,32.0,30.003,No rain,4.18,97,2.28,0.0,2
1066,2020,Sp,le,Fe,9.0,20.0,83.968,0.0,DNF,38.0,29.0,22.274,No rain,9.61,85,3.09,0.0,1
1067,2024,Du,no,Mc,1.0,1.0,73.81700000000001,26.0,Finished,72.0,28.0,21.536,No rain,1.59,88,3.6,0.0,1
1068,2022,Au,al,Al,10.0,17.0,80.846,0.0,+1 Lap,57.0,39.0,18.796,No rain,17.76,67,0.89,0.0,2
1069,2023,Ja,bo,Al,16.0,20.0,122.755,0.0,DNF,7.0,6.0,53.512,No rain,7.84,72,6.85,0.0,2
1070,2019,Au,ku,Wi,20.0,17.0,89.28399999999999,0.0,DNF,55.0,28.0,22.343,No rain,17.76,67,0.89,0.0,3
1071,2023,Au,de,,,,,,DNF,,8.0,15:37.874,No rain,17.76,67,0.89,0.0,2
1072,2021,Hu,ri,Mc,11.0,11.0,82.80199999999999,0.0,+1 Lap,69.0,2.0,24:17.127,No rain,1.26,70,3.09,0.0,2
1073,2021,Hu,ga,Al,5.0,5.0,78.394,11.0,Finished,70.0,3.0,39.839,No rain,1.26,70,3.09,0.0,2
1074,2022,Em,pe,,,,,,DNF,,50.0,29.627,Rain,4.34,96,2.91,1.33,2
1075,2019,It,gr,Ha,13.0,16.0,84.985,0.0,+1 Lap,52.0,7.0,26.481,Rain,5.0,87,0.45,1.0,2
1076,2020,Tu,al,Re,4.0,3.0,80.039,15.0,Finished,59.0,8.0,23:58.719,No rain,5.13,81,2.59,0.0,2
1077,2019,Un,gi,Al,16.0,14.0,99.964,0.0,+1 Lap,55.0,39.0,24.206,Rain,17.84,85,3.09,0.0,2
1078,2024,Sp,ru,Me,4.0,4.0,78.28999999999999,12.0,Finished,66.0,36.0,22.700,No rain,9.61,85,3.09,0.0,2
1079,2022,Ab,mi,,,,,,DNF,,14.0,22.276,No rain,21.1,68,2.06,0.0,2
1080,2019,Si,gi,Al,10.0,10.0,105.63,1.0,Finished,61.0,34.0,29.070,No rain,26.92,87,1.03,0.0,2
1081,2024,La,oc,Al,11.0,17.0,96.511,0.0,+1 Lap,49.0,12.0,21.142,No rain,14.64,31,1.54,0.0,2
1082,2022,Au,ve,As,17.0,19.0,85.189,0.0,DNF,22.0,,,No rain,17.76,67,0.89,0.0,0
1083,2023,Ab,no,Mc,5.0,5.0,88.164,10.0,Finished,58.0,33.0,21.432,No rain,21.1,68,2.06,0.0,2
1084,2023,Be,al,As,9.0,5.0,110.938,10.0,Finished,44.0,10.0,23.085,Rain,-1.91,100,2.57,0.0,1
1085,2019,Me,al,Re,5.0,5.0,79.325,10.0,Finished,71.0,14.0,22.192,No rain,23.88,23,4.12,0.0,2
1086,2024,La,la,RB,14.0,16.0,96.97999999999999,0.0,Finished,50.0,11.0,21.049,No rain,14.64,31,1.54,0.0,1
1087,2022,Ab,sa,Fe,4.0,4.0,88.879,12.0,Finished,58.0,17.0,21.930,No rain,21.1,68,2.06,0.0,2
1088,2021,Un,le,Fe,4.0,4.0,99.303,12.0,Finished,56.0,12.0,24.011,Rain,17.84,85,3.09,0.0,1
1089,2023,Hu,zh,Al,5.0,16.0,83.743,0.0,+1 Lap,69.0,38.0,22.853,No rain,1.26,70,3.09,0.0,2
1090,2021,Me,ra,,,,,,DNF,,32.0,22.424,No rain,23.88,23,4.12,0.0,1
1091,2024,Ja,ha,Me,7.0,9.0,93.952,2.0,Finished,53.0,1.0,26:20.696,No rain,7.84,72,6.85,0.0,1
1092,2020,Tu,ri,Re,5.0,10.0,100.67699999999999,1.0,Finished,58.0,32.0,23.208,No rain,5.73,65,4.63,0.0,2
1093,2023,Az,no,Mc,7.0,9.0,105.738,2.0,Finished,51.0,9.0,20.346,Rain,4.97,75,12.35,0.0,1
1094,2024,Ca,pe,,,,,,DNF,,43.0,24.423,No rain,-4.97,57,6.69,0.0,2
1095,2023,Ab,ma,,,,,,DNF,,16.0,21.662,No rain,21.1,68,2.06,0.0,1
1096,2020,Tu,ve,Fe,14.0,10.0,81.202,1.0,Finished,59.0,8.0,24:09.513,No rain,5.13,81,2.59,0.0,3
1097,2024,Hu,ru,Me,17.0,8.0,80.305,5.0,Finished,70.0,33.0,21.369,No rain,1.26,70,3.09,0.0,1
1098,2023,Sã,sa,Wi,19.0,11.0,75.738,0.0,+1 Lap,70.0,1.0,27.472,No rain,21.25,86,4.63,0.0,1
1099,2019,Br,ku,Wi,20.0,15.0,91.509,0.0,+1 Lap,51.0,20.0,28.694,No rain,4.18,97,2.28,0.0,1
1100,2021,Po,sa,Fe,5.0,11.0,82.325,0.0,Finished,66.0,2.0,22.029,No rain,10.33,88,1.9,0.0,2
1101,2023,Sp,ru,Me,12.0,3.0,77.875,15.0,Finished,66.0,25.0,22.275,No rain,9.61,85,3.09,0.0,1
1102,2021,Me,sa,Fe,6.0,6.0,80.081,8.0,+1 Lap,70.0,42.0,22.031,No rain,23.88,23,4.12,0.0,1
1103,2022,Au,al,Al,10.0,17.0,80.846,0.0,+1 Lap,57.0,39.0,18.796,No rain,17.76,67,0.89,0.0,2
1104,2023,Sp,al,Wi,18.0,16.0,79.133,0.0,+1 Lap,65.0,37.0,23.449,No rain,9.61,85,3.09,0.0,2
1105,2019,Si,ga,To,11.0,8.0,105.769,4.0,Finished,61.0,32.0,32.482,No rain,26.92,87,1.03,0.0,1
1106,2024,Hu,ts,RB,10.0,9.0,83.533,2.0,Finished,70.0,29.0,21.467,No rain,1.26,70,3.09,0.0,1
1107,2019,It,ra,,,,,,DNF,,26.0,24.568,Rain,5.0,87,0.45,1.0,2
1108,2024,Me,la,RB,12.0,16.0,79.502,0.0,+1 Lap,70.0,39.0,22.586,No rain,23.88,23,4.12,0.0,2
1109,2019,Az,ke,,,,,,DNF,,39.0,20.859,Rain,4.97,75,12.35,0.0,2
1110,2023,Qa,la,Al,17.0,17.0,87.113,0.0,+1 Lap,56.0,21.0,28.665,No rain,20.97,72,3.43,0.0,2
1111,2021,St,sa,Fe,12.0,6.0,68.609,8.0,+1 Lap,70.0,41.0,21.226,No rain,-2.06,86,1.54,0.0,1
1112,2022,Hu,le,Fe,3.0,6.0,81.622,8.0,Finished,70.0,39.0,21.972,No rain,1.26,70,3.09,0.0,2
1113,2022,Sp,ke,,,,,,DNF,,29.0,23.878,No rain,9.61,85,3.09,0.0,2
1114,2023,It,ke,,,,,,DNF,,12.0,24.660,Rain,5.0,87,0.45,1.0,2
1115,2019,Au,ru,Wi,19.0,16.0,88.713,0.0,+2 Laps,56.0,26.0,21.689,No rain,17.76,67,0.89,0.0,2
1116,2021,Sã,no,Mc,5.0,10.0,73.761,1.0,+1 Lap,70.0,6.0,17.719,No rain,21.25,86,4.63,0.0,3
1117,2023,Me,zh,Al,10.0,14.0,83.56700000000001,0.0,Finished,71.0,21.0,22.817,No rain,23.88,23,4.12,0.0,1
1118,2020,Sa,ri,Re,7.0,5.0,,10.0,Finished,87.0,55.0,24.695,No rain,21.05,72,5.45,0.0,2
1119,2021,Sp,al,Al,10.0,17.0,81.182,0.0,+1 Lap,65.0,21.0,22.043,No rain,9.61,85,3.09,0.0,1
1120,2021,Tu,no,Mc,7.0,7.0,92.446,6.0,Finished,58.0,34.0,23.239,No rain,5.73,65,4.63,0.0,1
1121,2021,Un,st,As,13.0,12.0,101.189,0.0,+1 Lap,55.0,18.0,23.827,Rain,17.84,85,3.09,0.0,1
1122,2024,Hu,ma,,,,,,DNF,,21.0,22.101,No rain,1.26,70,3.09,0.0,1
1123,2023,Ab,ma,,,,,,DNF,,16.0,21.662,No rain,21.1,68,2.06,0.0,1
1124,2020,Sa,ai,Wi,17.0,16.0,,0.0,Finished,87.0,54.0,25.688,No rain,21.05,72,5.45,0.0,2
1125,2019,Ge,ku,Wi,18.0,10.0,79.062,1.0,Finished,64.0,23.0,20.436,No rain,0.22,86,0.0,0.0,2
1126,2023,Br,ma,,,,,,DNF,,33.0,29.056,No rain,4.18,97,2.28,0.0,1
1127,2024,Br,st,As,8.0,7.0,89.89699999999999,6.0,Finished,52.0,26.0,29.023,No rain,4.18,97,2.28,0.0,1
1128,2024,Au,al,Wi,12.0,11.0,81.618,0.0,+1 Lap,57.0,6.0,17.755,No rain,17.76,67,0.89,0.0,2
1129,2022,Ab,oc,Al,8.0,7.0,89.333,6.0,Finished,58.0,41.0,21.734,No rain,21.1,68,2.06,0.0,2
1130,2021,Sã,ma,,,,,,DNF,,8.0,17.807,No rain,21.25,86,4.63,0.0,2
1131,2019,It,kv,To,12.0,19.0,85.77199999999999,0.0,DNF,29.0,28.0,24.479,Rain,5.0,87,0.45,1.0,1
1132,2024,Be,ts,RB,20.0,16.0,107.969,0.0,Finished,44.0,15.0,23.452,Rain,-1.91,100,2.57,0.0,1
1133,2019,Au,ga,Re,17.0,11.0,87.229,0.0,+1 Lap,57.0,37.0,21.269,No rain,17.76,67,0.89,0.0,1
1134,2020,St,al,Re,6.0,4.0,67.299,12.0,Finished,71.0,35.0,21.505,No rain,-2.06,86,1.54,0.0,1
1135,2023,Ab,al,As,7.0,7.0,88.256,6.0,Finished,58.0,12.0,22.462,No rain,21.1,68,2.06,0.0,2
1136,2021,Ba,ma,,,,,,DNF,,17.0,24.767,No rain,21.05,72,5.45,0.0,1
1137,2023,Az,ke,,,,,,DNF,,10.0,30.951,Rain,4.97,75,12.35,0.0,1
1138,2019,Sp,gi,Al,18.0,16.0,81.833,0.0,Finished,66.0,6.0,22.381,No rain,9.61,85,3.09,0.0,2
1139,2019,Si,gi,Al,10.0,10.0,105.63,1.0,Finished,61.0,36.0,28.960,No rain,26.92,87,1.03,0.0,2
1140,2024,Du,zh,Sa,17.0,20.0,75.724,0.0,+2 Laps,70.0,51.0,22.044,No rain,1.59,88,3.6,0.0,2
1141,2021,Qa,no,Mc,4.0,9.0,85.746,2.0,+1 Lap,56.0,25.0,25.319,No rain,20.97,72,3.43,0.0,2
1142,2023,Br,al,Wi,8.0,8.0,91.273,4.0,Finished,52.0,32.0,29.634,No rain,4.18,97,2.28,0.0,1
1143,2023,Si,la,Al,10.0,9.0,99.02799999999999,2.0,Finished,62.0,20.0,32.348,No rain,26.92,87,1.03,0.0,1
1144,2023,Sa,zh,Al,11.0,13.0,93.894,0.0,Finished,50.0,18.0,21.282,No rain,26.03,53,2.06,0.0,2
1145,2023,Du,la,Al,19.0,13.0,74.82,0.0,Finished,72.0,10.0,30.836,No rain,1.59,88,3.6,0.0,2
1146,2023,Ba,oc,Al,9.0,18.0,96.797,0.0,DNF,41.0,15.0,41.462,No rain,21.05,72,5.45,0.0,2
1147,2020,Hu,le,Fe,6.0,11.0,80.821,0.0,+1 Lap,69.0,2.0,22.266,No rain,1.26,70,3.09,0.0,2
1148,2020,Em,gr,Ha,16.0,14.0,78.822,0.0,Finished,63.0,9.0,30.422,Rain,4.34,96,2.91,1.33,2
1149,2022,Ca,al,Wi,12.0,13.0,77.951,0.0,Finished,70.0,18.0,23.804,No rain,-4.97,57,6.69,0.0,2
1150,2023,Qa,sa,Wi,15.0,18.0,87.983,0.0,DNF,40.0,13.0,29.436,No rain,20.97,72,3.43,0.0,2
1151,2023,Br,ga,Al,10.0,18.0,91.539,0.0,DNF,46.0,31.0,28.458,No rain,4.18,97,2.28,0.0,1
1152,2021,Au,ts,Al,7.0,12.0,68.455,0.0,+1 Lap,70.0,12.0,21.145,No rain,-2.06,86,1.54,0.0,2
1153,2023,Br,pe,,,,,,DNF,,28.0,28.060,No rain,4.18,97,2.28,0.0,1
1154,2024,Au,ri,RB,11.0,9.0,70.426,2.0,Finished,71.0,10.0,21.502,No rain,-2.06,86,1.54,0.0,2
1155,2021,Ab,gi,Al,14.0,17.0,89.44200000000001,0.0,DNF,33.0,17.0,22.283,No rain,21.1,68,2.06,0.0,1
1156,2020,Tu,le,Fe,5.0,8.0,81.229,4.0,Finished,59.0,7.0,17.516,No rain,5.13,81,2.59,0.0,3
1157,2019,Ch,gi,Al,19.0,15.0,98.048,0.0,+1 Lap,55.0,7.0,25.184,No rain,2.99,75,4.0,0.0,2
1158,2023,La,ma,,,,,,DNF,,16.0,26.686,No rain,14.64,31,1.54,0.0,2
1159,2024,Me,le,Fe,4.0,3.0,78.336,16.0,Finished,71.0,69.0,22.690,No rain,23.88,23,4.12,0.0,2
1160,2021,Po,gi,Al,12.0,12.0,82.167,0.0,+1 Lap,65.0,2.0,22.485,No rain,10.33,88,1.9,0.0,1
1161,2019,Be,st,Ra,16.0,10.0,108.357,1.0,Finished,44.0,30.0,25.250,Rain,-1.91,100,2.57,0.0,2
1162,2019,Be,ke,,,,,,DNF,,25.0,22.584,Rain,-1.91,100,2.57,0.0,1
1163,2022,Ba,ts,Al,16.0,8.0,97.104,4.0,Finished,57.0,29.0,24.350,No rain,21.05,72,5.45,0.0,2
1164,2023,Sp,oc,Al,6.0,8.0,78.946,4.0,Finished,66.0,35.0,24.110,No rain,9.61,85,3.09,0.0,2
1165,2019,Ba,ru,Wi,19.0,15.0,97.313,0.0,+1 Lap,56.0,12.0,24.633,No rain,21.05,72,5.45,0.0,2
1166,2020,Au,oc,Re,14.0,8.0,68.932,4.0,Finished,71.0,26.0,21.683,No rain,-2.06,86,1.54,0.0,1
1167,2020,Hu,ma,,,,,,DNF,,4.0,21.529,No rain,1.26,70,3.09,0.0,1
1168,2021,Au,bo,Me,5.0,2.0,68.374,18.0,Finished,71.0,30.0,21.071,No rain,-2.06,86,1.54,0.0,1
1169,2021,Sp,al,Al,10.0,17.0,81.182,0.0,+1 Lap,65.0,21.0,22.043,No rain,9.61,85,3.09,0.0,1
1170,2024,Ca,hu,,,,,,DNF,,25.0,24.668,No rain,-4.97,57,6.69,0.0,2
1171,2023,Ca,ga,Al,15.0,12.0,76.425,0.0,Finished,70.0,10.0,27.515,No rain,-4.97,57,6.69,0.0,2
1172,2022,Br,ts,Al,13.0,14.0,93.832,0.0,Finished,52.0,1.0,50:11.861,No rain,4.18,97,2.28,0.0,2
1173,2022,Ab,no,Mc,7.0,6.0,88.39099999999999,9.0,Finished,58.0,42.0,21.559,No rain,21.1,68,2.06,0.0,2
1174,2022,Hu,ga,Al,0.0,12.0,83.199,0.0,+1 Lap,69.0,16.0,21.675,No rain,1.26,70,3.09,0.0,1
1175,2022,Si,ke,,,,,,DNF,,33.0,32.603,No rain,26.92,87,1.03,0.0,2
1176,2019,Ge,sa,Mc,7.0,5.0,77.84100000000001,10.0,Finished,64.0,3.0,23.363,No rain,0.22,86,0.0,0.0,1
1177,2021,Po,no,Mc,7.0,5.0,81.696,10.0,Finished,66.0,2.0,21.407,No rain,10.33,88,1.9,0.0,2
1178,2019,Sp,kv,To,9.0,9.0,80.726,2.0,Finished,66.0,21.0,22.049,No rain,9.61,85,3.09,0.0,2
1179,2022,Sa,le,Fe,2.0,2.0,91.634,19.0,Finished,50.0,16.0,21.038,No rain,26.03,53,2.06,0.0,1
1180,2023,Hu,zh,Al,5.0,16.0,83.743,0.0,+1 Lap,69.0,10.0,29.211,No rain,1.26,70,3.09,0.0,2
1181,2024,Du,zh,Sa,17.0,20.0,75.724,0.0,+2 Laps,70.0,51.0,22.044,No rain,1.59,88,3.6,0.0,2
1182,2022,Ja,ha,Me,6.0,5.0,105.53,10.0,Finished,28.0,2.0,6:36.504,No rain,7.84,72,6.85,0.0,2
1183,2024,Qa,ha,Me,6.0,12.0,83.865,0.0,Finished,57.0,,,No rain,20.97,72,3.43,0.0,0
1184,2023,Ja,ru,Me,8.0,7.0,97.65299999999999,6.0,Finished,53.0,24.0,24.034,No rain,7.84,72,6.85,0.0,1
1185,2023,Au,no,Mc,13.0,6.0,81.173,8.0,Finished,58.0,8.0,15:34.763,No rain,17.76,67,0.89,0.0,1
1186,2023,La,le,Fe,1.0,2.0,95.669,18.0,Finished,50.0,21.0,22.559,No rain,14.64,31,1.54,0.0,1
1187,2019,Mo,ga,Re,8.0,5.0,74.279,11.0,Finished,78.0,62.0,23.858,No rain,11.92,73,3.6,0.0,2
1188,2019,Mo,bo,Me,2.0,3.0,75.163,15.0,Finished,78.0,11.0,25.030,No rain,11.92,73,3.6,0.0,2
1189,2020,Tu,bo,Me,2.0,2.0,79.432,18.0,Finished,59.0,7.0,17.560,No rain,5.13,81,2.59,0.0,2
1190,2021,Sã,oc,Al,8.0,8.0,74.43,4.0,+1 Lap,70.0,7.0,19.285,No rain,21.25,86,4.63,0.0,1
1191,2021,Un,ma,Ha,17.0,17.0,102.886,0.0,+2 Laps,54.0,1.0,30.673,Rain,17.84,85,3.09,0.0,2
1192,2019,Ja,ga,To,9.0,7.0,95.321,6.0,+1 Lap,51.0,18.0,23.180,No rain,7.84,72,6.85,0.0,1
1193,2020,St,ri,Re,8.0,8.0,67.832,4.0,Finished,71.0,37.0,21.603,No rain,-2.06,86,1.54,0.0,1
1194,2022,Sa,la,Wi,18.0,18.0,97.53,0.0,DNF,14.0,,,No rain,26.03,53,2.06,0.0,0
1195,2019,Sp,gr,Ha,7.0,10.0,81.057,1.0,Finished,66.0,26.0,22.379,No rain,9.61,85,3.09,0.0,1
1196,2023,Az,pe,,,,,,DNF,,11.0,20.389,Rain,4.97,75,12.35,0.0,1
1197,2023,Au,ha,Me,5.0,8.0,69.16,4.0,Finished,71.0,14.0,21.993,No rain,-2.06,86,1.54,0.0,2
1198,2020,Sp,gr,Ha,17.0,19.0,80.40899999999999,0.0,+2 Laps,64.0,32.0,23.212,No rain,9.61,85,3.09,0.0,1
1199,2019,Hu,ku,Wi,19.0,19.0,83.436,0.0,DNF,67.0,18.0,21.754,No rain,1.26,70,3.09,0.0,1
1200,2022,Fr,ga,Al,14.0,12.0,98.786,0.0,Finished,53.0,18.0,35.969,No rain,8.64,77,3.73,0.1,1
1201,2021,Un,gi,Al,12.0,11.0,101.14500000000001,0.0,+1 Lap,55.0,26.0,23.502,Rain,17.84,85,3.09,0.0,2
1202,2024,Mi,hu,,,,,,DNF,,28.0,22.487,No rain,22.99,64,8.23,0.0,2
1203,2019,Ge,bo,Me,3.0,15.0,78.27199999999999,0.0,DNF,56.0,26.0,20.498,No rain,0.22,86,0.0,0.0,2
1204,2019,Fr,gi,Al,10.0,16.0,95.11500000000001,0.0,+1 Lap,52.0,7.0,30.842,No rain,8.64,77,3.73,0.1,2
1205,2024,Ja,ts,RB,10.0,10.0,96.342,1.0,+1 Lap,52.0,7.0,23.358,No rain,7.84,72,6.85,0.0,2
1206,2022,Az,pe,,,,,,DNF,,16.0,23.379,Rain,4.97,75,12.35,0.0,2
1207,2023,Un,sa,Wi,16.0,10.0,101.238,1.0,Finished,56.0,32.0,25.547,Rain,17.84,85,3.09,0.0,2
1208,2024,Un,ga,Al,6.0,12.0,98.311,0.0,Finished,56.0,18.0,28.228,Rain,17.84,85,3.09,0.0,1
1209,2023,Me,ga,Al,11.0,11.0,83.23,0.0,Finished,71.0,28.0,22.627,No rain,23.88,23,4.12,0.0,1
1210,2021,Br,ru,Wi,12.0,12.0,92.049,0.0,+1 Lap,51.0,18.0,27.812,No rain,4.18,97,2.28,0.0,2
1211,2022,Hu,ke,,,,,,DNF,,6.0,29.641,No rain,1.26,70,3.09,0.0,2
1212,2020,Hu,ra,,,,,,DNF,,33.0,27.128,No rain,1.26,70,3.09,0.0,2
1213,2022,Az,ts,Al,8.0,13.0,107.523,0.0,+1 Lap,50.0,38.0,41.500,Rain,4.97,75,12.35,0.0,2
1214,2021,Tu,bo,Me,1.0,1.0,90.432,26.0,Finished,58.0,37.0,22.962,No rain,5.73,65,4.63,0.0,1
1215,2020,Ba,ke,,,,,,DNF,,3.0,38.297,No rain,21.05,72,5.45,0.0,2
1216,2022,Az,bo,Al,15.0,11.0,108.179,0.0,+1 Lap,50.0,33.0,20.979,Rain,4.97,75,12.35,0.0,1
1217,2022,It,sa,Fe,18.0,4.0,84.446,12.0,Finished,53.0,30.0,23.728,Rain,5.0,87,0.45,1.0,2
1218,2021,Sa,gi,Al,10.0,9.0,92.86500000000001,2.0,Finished,50.0,13.0,16:44.917,No rain,26.03,53,2.06,0.0,1
1219,2024,La,sa,Fe,2.0,3.0,95.875,15.0,Finished,50.0,10.0,21.048,No rain,14.64,31,1.54,0.0,2
1220,2022,Ja,bo,Al,12.0,15.0,107.82,0.0,Finished,28.0,6.0,24.869,No rain,7.84,72,6.85,0.0,2
1221,2024,Du,al,As,7.0,10.0,74.758,1.0,+1 Lap,71.0,31.0,21.348,No rain,1.59,88,3.6,0.0,1
1222,2023,Hu,al,As,8.0,9.0,82.745,2.0,Finished,70.0,20.0,22.916,No rain,1.26,70,3.09,0.0,2
1223,2022,Au,mi,,,,,,DNF,,43.0,22.880,No rain,-2.06,86,1.54,0.0,2
1224,2021,Sp,ma,Ha,20.0,19.0,84.03999999999999,0.0,+2 Laps,64.0,42.0,22.502,No rain,9.61,85,3.09,0.0,2
1225,2021,St,mi,,,,,,DNF,,33.0,22.400,No rain,-2.06,86,1.54,0.0,1
1226,2020,Em,ra,,,,,,DNF,,48.0,29.863,Rain,4.34,96,2.91,1.33,1
1227,2021,St,ha,Me,2.0,2.0,67.05799999999999,19.0,Finished,71.0,28.0,21.219,No rain,-2.06,86,1.54,0.0,2
1228,2021,Em,ve,As,0.0,15.0,79.074,0.0,DNF,61.0,20.0,31.184,Rain,4.34,96,2.91,1.33,3
1229,2023,Sp,ha,Me,4.0,2.0,76.676,18.0,Finished,66.0,24.0,22.575,No rain,9.61,85,3.09,0.0,1
1230,2022,Ab,mi,,,,,,DNF,,14.0,22.276,No rain,21.1,68,2.06,0.0,2
1231,2020,Tu,ra,,,,,,DNF,,30.0,31.356,No rain,5.73,65,4.63,0.0,2
1232,2023,Me,no,Mc,17.0,5.0,81.944,10.0,Finished,71.0,34.0,20:26.386,No rain,23.88,23,4.12,0.0,3
1233,2020,Br,ma,,,,,,DNF,,50.0,28.273,No rain,4.18,97,2.28,0.0,2
1234,2022,Si,ru,Me,0.0,14.0,106.458,0.0,+2 Laps,57.0,51.0,29.893,No rain,26.92,87,1.03,0.0,4
1235,2024,Un,ts,RB,10.0,14.0,99.193,0.0,+1 Lap,55.0,18.0,24.193,Rain,17.84,85,3.09,0.0,1
1236,2023,Ba,no,Mc,11.0,17.0,95.822,0.0,+2 Laps,55.0,27.0,33.467,No rain,21.05,72,5.45,0.0,3
1237,2023,Un,no,Mc,2.0,2.0,99.985,18.0,Finished,56.0,34.0,23.361,Rain,17.84,85,3.09,0.0,2
1238,2024,La,al,Wi,17.0,19.0,98.00800000000001,0.0,DNF,25.0,9.0,22.012,No rain,14.64,31,1.54,0.0,1
1239,2023,Du,ga,Al,12.0,3.0,74.441,15.0,Finished,72.0,11.0,19.518,No rain,1.59,88,3.6,0.0,2
1240,2024,Be,no,Mc,4.0,5.0,105.563,10.0,Finished,44.0,29.0,22.610,Rain,-1.91,100,2.57,0.0,2
1241,2023,Ca,ke,,,,,,DNF,,35.0,24.909,No rain,-4.97,57,6.69,0.0,1
